"","Ficus vogelii","Bridelia micrantha","Halleria lucida","Ficus natalensis","Apodytes dimidiata","Trema orientalis","Dovyalis longispina","Sideroxylon inerme","Trichilia emetica","Vepris undulata","Erianthemum dregei","Euclea natalensis","Antidesma venosum","Ekebergia capensis","Strelitzia nicholai","Mimusops caffra"
"Cholorocichla flaviventris",270,123,26,25,164,9,57,112,83,47,0,51,4,7,0,11
"Pogoniulus bilineatus",86,6,44,116,30,92,27,38,41,62,141,27,36,5,10,3
"Pycnonotus barbatus",151,114,23,25,3,13,57,0,10,0,0,8,11,1,26,3
"Buccanodon leucotis",259,12,13,15,0,0,2,4,0,0,0,8,3,14,5,0
"Unidentified sp1 M_SD_008",32,12,125,13,20,44,0,6,0,11,9,4,11,0,0,0
"Zosterops pallidus",65,6,13,28,10,53,6,0,0,13,0,0,18,6,0,0
"Bycanistes buccinator",173,0,0,5,0,0,0,0,2,0,0,0,0,10,0,0
"Lumprocolius corruscus",22,3,16,8,20,4,12,2,29,0,0,0,0,12,0,3
"Andropadus importunus",11,12,0,0,5,4,27,25,3,26,0,2,1,1,0,0
"Tauraco porphyrocephalus",11,12,0,18,0,0,8,4,2,0,0,3,2,13,0,5
