"","Phoradendron sp1 M_SD_004","Schefflera morototoni ","Cecropia schreberiana ","Ficus sp1 M_SD_004","Guarea guidonia ","Cordia sulcata ","Alchornea latifolia ","Miconia serrulata ","Clusia rosea ","Anthurium scandens ","Miconia affinis ","Inga vera ","Musa acuminata ","Inga laurina ","Dendropemon bicolor ","Myrcine coriacea ","Syzigium jambos ","Andira inermis ","Coffea arabica ","Miconia racemosa ","Palicourea guianensis ","Tilandsia sp1 M_SD_004","Buchenavia capitata ","Casearia arborea ","Citrus sinensis ","Dendropanax arboreus ","Henriettea fascicularis ","Momordica charantia ","Palicourea crocea ","Philodendron angustatum ","Piper sp1 M_SD_004","Solanum rugosum ","Unidentified sp1 M_SD_004","Zanthoxylum martinicensis"
"Spindalis portoricensis ",10,56,29,34,0,28,3,6,0,1,2,0,1,4,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Euphonia musica ",55,1,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Nesospingus sp1 M_SD_004",3,4,6,4,5,0,0,12,1,0,10,8,3,0,3,2,1,0,0,2,1,3,0,1,1,0,0,0,0,1,0,0,1,0
"Loxigilla portoricensis ",9,1,6,0,17,0,14,0,0,0,0,0,4,0,1,1,3,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1
"Vireo altiloquous ",1,3,4,1,14,0,3,0,11,0,1,1,0,1,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Melanerpes portoricensis ",0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba squamosa ",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Margarops fuscatus ",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tyrannus dominicensis ",0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zenaida asiatica",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendroica tigrina ",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo flavirostris ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendroica caerulescens ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icterus dominicensis ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myarchus antillarum ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiaris bicolor ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Todus mexicanus ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus caudifasciatus ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo latimeri ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
